site_code,Family,local_name,standard_taxon,number_plots_observed,provenance,lifespan,lifeform,functional_group,photosynthetic_pathway
anti.ec,Poaceae,"Festuca glumosa","Festuca glumosa",29,NAT,PERENNIAL,GRASS,GRASS,C3
anti.ec,Poaceae,"Poa cucullata","Poa cucullata",10,NAT,PERENNIAL,GRASS,GRASS,C3
anti.ec,Poaceae,"Trisetum spicatum","Trisetum spicatum",33,NAT,PERENNIAL,GRASS,GRASS,C3
anti.ec,Ranunculaceae,"Ranunculus praemorsus","Ranunculus praemorsus",9,NAT,ANNUAL,HERB,NULL,NULL
anti.ec,Rosaceae,"Lachemilla hispidula","Lachemilla hispidula",14,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Rosaceae,"Lachemilla tanacetifolia","Lachemilla tanacetifolia",1,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Rosaceae,"Lachemilla vulcanica","Lachemilla vulcanica",2,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Rosaceae,"Potentilla dombeyi","Potentilla dombeyi",1,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Rubiaceae,"Arcytophyllum filiforme","Arcytophyllum filiforme",3,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Scrophulariaceae,"Castilleja fissifolia","Castilleja fissifolia",2,NAT,ANNUAL,HERB,FORB,NULL
anti.ec,Scrophulariaceae,"Castilleja nubigena","Castilleja nubigena",6,NAT,ANNUAL,HERB,NULL,NULL
anti.ec,Thelypteridaceae,"Thelypteris caucaensis","Thelypteris caucaensis",2,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Violaceae,"Viola bangii","Viola bangii",8,NAT,ANNUAL,HERB,NULL,NULL
arch.us,NULL,Bryophytes,Bryophyte,4,NULL,NULL,NULL,BRYOPHYTE,NULL
arch.us,NULL,Moss,Bryophyte,2,NULL,NULL,NULL,BRYOPHYTE,NULL
arch.us,Annonaceae,"Asimina reticulata","Asimina reticulata",16,NAT,PERENNIAL,SHRUB,WOODY,NULL
arch.us,Apocynaceae,"Asclepias pedicellata","Asclepias pedicellata",5,NAT,PERENNIAL,NULL,FORB,NULL
arch.us,Aquifoliaceae,"Ilex glabra","Ilex glabra",2,NAT,PERENNIAL,SHRUB,WOODY,NULL
arch.us,Cistaceae,"Lechea torreyi","Lechea torreyi",5,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Compositae,"Carphephorus odoratissimus","Carphephorus carphephorus",7,NAT,PERENNIAL,NULL,FORB,NULL
arch.us,Compositae,"Carphephorus sp.","Carphephorus sp.",9,NAT,PERENNIAL,NULL,FORB,NULL
arch.us,Compositae,"Eupatorium capillifolium","Eupatorium capillifolium",1,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Compositae,"Eupatorium mohrii","Eupatorium mohrii",12,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Compositae,"Euthamia graminifolia","Euthamia graminifolia",18,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Compositae,"Liatris gracilis","Liatris gracilis",5,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Compositae,"Liatris tenuifolia","Liatris tenuifolia",1,NAT,PERENNIAL,NULL,FORB,NULL
arch.us,Compositae,"Pityopsis graminifolia","Pityopsis graminifolia",10,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Compositae,"Pterocaulon pycnostachyum","Pterocaulon pycnostachyum",23,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Compositae,"Solidago fistulosa","Solidago fistulosa",1,NAT,PERENNIAL,NULL,FORB,NULL
arch.us,Compositae,"Solidago sp.","Solidago sp.",1,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Cyperaceae,"Carex sp.","Carex sp.",14,UNK,PERENNIAL,NULL,GRAMINOID,NULL
arch.us,Cyperaceae,"Cyperus polystachyos","Pycreus polystachyos",1,NAT,INDETERMINATE,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Cyperus retrorsus","Cyperus retrorsus",14,NAT,PERENNIAL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Cyperus sp.","Cyperus sp.",2,NAT,NULL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Eleocharis baldwinii","Eleocharis baldwinii",24,NAT,PERENNIAL,GRAMINOID,GRAMINOID,C4
arch.us,Cyperaceae,"Eleocharis vivipara","Eleocharis vivipara",10,NAT,PERENNIAL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Fuirena scirpoidea","Fuirena scirpoidea",2,NAT,PERENNIAL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Kyllinga brevifolia","Kyllinga brevifolia",1,NAT,PERENNIAL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Rhynchospora fascicularis","Rhynchospora fascicularis",3,NAT,PERENNIAL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Rhynchospora filifolia","Rhynchospora filifolia",1,NAT,PERENNIAL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Rhynchospora sp.","Rhynchospora sp.",1,UNK,NULL,NULL,GRAMINOID,NULL
arch.us,Cyperaceae,"Scleria pauciflora","Scleria pauciflora",4,NAT,PERENNIAL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Scleria reticularis","Scleria reticularis",14,NAT,ANNUAL,GRAMINOID,GRAMINOID,NULL
arch.us,Cyperaceae,"Scleria sp.","Scleria sp.",13,NAT,NULL,GRAMINOID,GRAMINOID,NULL
arch.us,Ericaceae,"Gaylussacia dumosa","Gaylussacia dumosa",3,NAT,PERENNIAL,SHRUB,WOODY,NULL
arch.us,Ericaceae,"Lyonia lucida","Lyonia lucida",10,NAT,PERENNIAL,SHRUB,WOODY,NULL
arch.us,Ericaceae,"Vaccinium myrsinites","Vaccinium myrsinites",5,NAT,PERENNIAL,SHRUB,WOODY,NULL
arch.us,Eriocaulaceae,"Lachnocaulon anceps","Lachnocaulon anceps",5,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Fabaceae,"Galactia elliottii","Galactia elliottii",1,NAT,PERENNIAL,FORB,LEGUME,NULL
arch.us,Fagaceae,"Quercus minima","Quercus minima",27,NAT,PERENNIAL,SHRUB,WOODY,NULL
